Seconds,Oyster.2 ,Oyster.3,Oyster.5
7128,534,536,545
7140,533,536,545
7152,535,537,546
7164,534,536,546
7176,535,537,547
7188,534,537,546
7200,534,537,547
7212,534,537,546
7224,534,538,547
7236,536,537,547
7248,535,540,546
7260,536,530,547
7272,535,538,546
7284,536,539,548
7296,549,531,555
7308,548,539,555
7320,546,539,554
7332,543,538,553
7344,542,539,553
7356,542,538,552
7368,540,538,552
7380,540,537,550
7392,543,537,550
7404,542,537,550
7416,545,539,552
7428,544,538,550
7440,542,538,550
7452,541,538,550
7464,540,538,550
7476,541,538,549
7488,541,537,549
7500,542,537,549
7512,542,538,549
7524,541,537,548
7536,540,538,549
7548,541,537,549
7560,541,538,549
7572,540,537,548
7584,538,537,552
7596,538,538,551
7608,539,537,551
7620,539,536,549
7632,538,537,549
7644,538,537,549
7656,539,536,549
7668,540,536,549
7680,538,538,549
7692,539,536,548
7704,539,537,549
7716,538,537,549
7728,538,537,548
7740,538,537,547
7752,538,537,548
7764,538,537,548
7776,538,537,549
7788,538,537,548
7800,538,537,548
7812,538,537,553
7824,537,537,551
7836,538,537,551
7848,537,538,550
7860,537,537,556
7872,538,537,550
7884,538,536,549
7896,538,538,548
7908,537,536,549
7920,538,537,548
7932,538,537,548
7944,537,537,547
7956,537,538,548
7968,537,537,548
7980,537,538,549
7992,538,537,548
8004,538,537,548
8016,537,538,548
8028,538,537,548
8040,536,538,548
8052,537,537,547
8064,536,538,548
8076,536,537,547
8088,537,536,548
8100,536,538,548
8112,536,537,548
8124,536,538,548
8136,537,540,548
8148,536,540,549
8160,536,539,548
8172,537,539,549
8184,537,539,549
8196,536,539,549
8208,538,538,548
8220,537,539,549
8232,537,538,549
8244,536,538,550
8256,537,538,548
8268,537,538,548
8280,537,542,547
8292,536,541,548
8304,536,540,547
8316,536,541,547
8328,537,540,548
8340,537,539,548
8352,536,539,547
8364,539,539,548
8376,537,539,546
8388,537,542,547
8400,538,540,547
8412,537,540,547
8424,537,540,547
8436,537,539,547
8448,537,539,547
8460,536,540,547
8472,537,539,547
8484,537,539,547
8496,536,539,547
8508,537,539,547
8520,537,542,551
8532,536,541,549
8544,537,540,549
8556,537,540,549
8568,537,540,549
8580,537,540,548
8592,537,540,550
8604,535,542,548
8616,535,545,550
8628,537,544,550
8640,536,553,550
8652,536,555,550
8664,536,557,549
8676,537,557,549
8688,536,557,548
8700,537,557,550
8712,537,555,549
8724,537,551,549
8736,537,550,549
8748,537,549,548
8760,536,552,548
8772,536,552,548
8784,537,552,548
8796,536,551,548
8808,537,549,548
8820,537,549,549
8832,538,546,549
8844,538,548,553
8856,538,547,552
8868,536,547,550
8880,537,546,551
8892,537,546,551
8904,538,544,551
8916,538,545,551
8928,536,546,550
8940,537,546,550
8952,537,545,549
8964,537,544,549
8976,538,542,550
8988,536,543,549
9000,537,542,549
9012,537,544,550
